customer_id,full_name,first_purchase_date,last_purchase_date,customer_age_days,ingresos_t,margen_total,margen_t,num_ventas,num_lineas,r_t,frecuencia_t,ticket_medio,cltv,segmento_cltv,dias_sin_compra,churn_proxy,num_devoluciones,tasa_devolucion,R_score,F_score,M_score,rfm_score,segmento_rfm
1,Marta Ruiz García,2020-06-29,2025-10-01,1920,11732.55,4688.48,0.3996,22,57,64.0,0.3438,533.2977,103146.56,Alto,90,False,2,0.0351,4,4,4,12,Champions
2,Alejandro López López,2020-03-02,2025-10-30,2068,12744.26,5098.08,0.4,24,64,68.9333,0.3482,531.0108,122353.92,Alto,61,False,6,0.0938,4,4,4,12,Champions
3,Alejandro López Álvarez,2020-08-17,2025-11-07,1908,19862.51,7897.44,0.3976,24,72,63.6,0.3774,827.6046,189538.56,Alto,53,False,5,0.0694,4,4,4,12,Champions
4,Javier Ruiz Fernández,2020-04-19,2025-12-12,2063,8203.76,3137.72,0.3825,10,28,68.7667,0.1454,820.376,31377.2,Alto,18,False,2,0.0714,4,4,4,12,Champions
5,David Gómez Pérez,2020-03-17,2025-12-07,2091,10938.05,4231.48,0.3869,22,54,69.7,0.3156,497.1841,93092.56,Alto,23,False,4,0.0741,4,4,4,12,Champions
6,Javier García Sánchez,2020-04-19,2025-12-12,2063,12239.64,4800.12,0.3922,20,47,68.7667,0.2908,611.982,96002.4,Alto,18,False,3,0.0638,4,4,4,12,Champions
7,Ana García Fernández,2020-01-23,2025-12-05,2143,8226.7,3290.92,0.4,17,45,71.4333,0.238,483.9235,55945.64,Alto,25,False,1,0.0222,4,4,4,12,Champions
8,Ana Ruiz Díaz,2020-03-20,2025-08-01,1960,11132.63,4453.32,0.4,18,50,65.3333,0.2755,618.4794,80159.76,Alto,151,False,1,0.02,3,4,4,11,Leales
9,Alejandro García Álvarez,2020-10-28,2025-12-27,1886,9479.85,3600.16,0.3798,14,37,62.8667,0.2227,677.1321,50402.24,Alto,3,False,1,0.027,4,4,4,12,Champions
10,Marta Díaz Sánchez,2020-01-16,2025-12-04,2149,9605.2,3842.28,0.4,20,40,71.6333,0.2792,480.26,76845.6,Alto,26,False,3,0.075,4,4,4,12,Champions
11,Javier López García,2020-01-15,2025-12-16,2162,9557.4,3823.16,0.4,17,37,72.0667,0.2359,562.2,64993.72,Alto,14,False,2,0.0541,4,4,4,12,Champions
12,Sergio Álvarez Martínez,2020-05-10,2025-07-21,1898,13792.99,5517.56,0.4,19,60,63.2667,0.3003,725.9468,104833.64,Alto,162,False,4,0.0667,3,4,4,11,Leales
13,María García Álvarez,2020-06-24,2025-11-25,1980,10223.87,4089.84,0.4,17,43,66.0,0.2576,601.4041,69527.28,Alto,35,False,1,0.0233,4,4,4,12,Champions
14,Ana Martínez Fernández,2020-01-26,2025-11-29,2134,19501.69,7657.0,0.3926,22,57,71.1333,0.3093,886.4405,168454.0,Alto,31,False,0,0.0,4,4,4,12,Champions
15,Alejandro Díaz Álvarez,2020-05-28,2025-07-02,1861,3858.51,1543.48,0.4,10,18,62.0333,0.1612,385.851,15434.8,Alto,181,True,0,0.0,3,4,4,11,Leales
16,Alejandro Pérez Gómez,2020-05-09,2025-12-11,2042,10076.33,4030.76,0.4,17,47,68.0667,0.2498,592.7253,68522.92,Alto,19,False,4,0.0851,4,4,4,12,Champions
17,Marta Martínez García,2020-02-08,2025-11-05,2097,13182.98,5273.44,0.4,19,39,69.9,0.2718,693.8411,100195.36,Alto,55,False,4,0.1026,4,4,4,12,Champions
18,Ana Ruiz Gómez,2020-01-08,2025-08-02,2033,11084.23,4146.0,0.374,20,49,67.7667,0.2951,554.2115,82920.0,Alto,150,False,0,0.0,3,4,4,11,Leales
19,Alejandro Gómez Álvarez,2020-01-16,2025-12-08,2153,14318.16,5343.6,0.3732,24,56,71.7667,0.3344,596.59,128246.4,Alto,22,False,4,0.0714,4,4,4,12,Champions
20,Lucía Pérez Gómez,2020-08-29,2025-12-13,1932,12351.5,4940.84,0.4,18,49,64.4,0.2795,686.1944,88935.12,Alto,17,False,4,0.0816,4,4,4,12,Champions
21,Sergio Díaz Sánchez,2020-02-15,2025-08-16,2009,11150.97,4316.64,0.3871,25,55,66.9667,0.3733,446.0388,107916.0,Alto,136,False,1,0.0182,3,4,4,11,Leales
22,Sergio García Pérez,2020-01-14,2025-08-27,2052,12849.0,4995.88,0.3888,20,57,68.4,0.2924,642.45,99917.6,Alto,125,False,6,0.1053,3,4,4,11,Leales
23,Sergio Díaz Díaz,2020-03-24,2025-07-11,1935,12712.12,4989.16,0.3925,26,54,64.5,0.4031,488.9277,129718.16,Alto,172,False,3,0.0556,3,4,4,11,Leales
24,Marta López Fernández,2020-02-06,2025-02-23,1844,9737.4,3847.2,0.3951,21,47,61.4667,0.3416,463.6857,80791.2,Alto,310,True,1,0.0213,3,4,4,11,Leales
25,Ana Ruiz Martínez,2020-04-09,2025-09-05,1975,17297.28,6775.28,0.3917,27,64,65.8333,0.4101,640.64,182932.56,Alto,116,False,3,0.0469,3,4,4,11,Leales
26,María Álvarez Sánchez,2020-01-08,2025-12-18,2171,19362.69,7505.52,0.3876,28,73,72.3667,0.3869,691.5246,210154.56,Alto,12,False,4,0.0548,4,4,4,12,Champions
27,David Fernández Ruiz,2020-05-03,2025-10-04,1980,15178.39,6023.72,0.3969,21,61,66.0,0.3182,722.7805,126498.12,Alto,87,False,2,0.0328,4,4,4,12,Champions
28,Sergio Díaz Díaz,2020-05-18,2025-01-27,1715,5624.97,2202.16,0.3915,17,32,57.1667,0.2974,330.8806,37436.72,Alto,337,True,1,0.0312,3,4,4,11,Leales
29,Marta López Fernández,2020-01-08,2025-12-25,2178,6198.53,2479.6,0.4,15,37,72.6,0.2066,413.2353,37194.0,Alto,5,False,5,0.1351,4,4,4,12,Champions
30,Sergio Sánchez García,2020-09-21,2025-01-31,1593,9968.79,3939.76,0.3952,19,48,53.1,0.3578,524.6732,74855.44,Alto,333,True,1,0.0208,3,4,4,11,Leales
31,Alejandro Ruiz Díaz,2020-04-15,2025-12-19,2074,14877.65,5855.44,0.3936,27,65,69.1333,0.3905,551.0241,158096.88,Alto,11,False,3,0.0462,4,4,4,12,Champions
32,Laura López Gómez,2020-03-12,2025-12-17,2106,13250.05,5300.4,0.4,29,67,70.2,0.4131,456.8983,153711.6,Alto,13,False,5,0.0746,4,4,4,12,Champions
33,Javier Fernández López,2020-03-14,2025-12-06,2093,8574.25,3285.92,0.3832,15,40,69.7667,0.215,571.6167,49288.8,Alto,24,False,0,0.0,4,4,4,12,Champions
34,Carlos Sánchez Fernández,2020-02-10,2025-09-16,2045,15273.41,6109.72,0.4,28,64,68.1667,0.4108,545.4789,171072.16,Alto,105,False,3,0.0469,3,4,4,11,Leales
35,Alejandro Gómez Ruiz,2021-01-04,2025-11-06,1767,14846.49,5890.92,0.3968,22,58,58.9,0.3735,674.8405,129600.24,Alto,54,False,2,0.0345,4,4,4,12,Champions
36,Javier Sánchez García,2020-04-13,2025-08-24,1959,10650.35,4212.4,0.3955,18,44,65.3,0.2757,591.6861,75823.2,Alto,128,False,6,0.1364,3,4,4,11,Leales
37,David Álvarez Álvarez,2020-01-11,2025-12-01,2151,11391.95,4413.04,0.3874,18,45,71.7,0.251,632.8861,79434.72,Alto,29,False,2,0.0444,4,4,4,12,Champions
38,Ana Álvarez Ruiz,2020-01-23,2025-06-11,1966,9352.49,3741.24,0.4,20,38,65.5333,0.3052,467.6245,74824.8,Alto,202,True,2,0.0526,3,4,4,11,Leales
39,Ana Pérez Gómez,2020-03-12,2025-04-14,1859,4988.31,1995.44,0.4,12,28,61.9667,0.1937,415.6925,23945.28,Alto,260,True,0,0.0,3,4,4,11,Leales
40,Javier Gómez García,2020-02-18,2025-10-30,2081,7992.71,3053.28,0.382,15,35,69.3667,0.2162,532.8473,45799.2,Alto,61,False,1,0.0286,4,4,4,12,Champions
