customer_id,ingresos_t,full_name,margen_t,frecuencia_t,ticket_medio,tasa_devolucion,cltv,pc1,pc2,cluster,cluster_label,segmento_cltv,dias_sin_compra,churn_proxy,R_score,F_score,M_score,segmento_rfm
1,11732.55,Marta Ruiz García,0.3996,0.3438,533.2977,0.0351,103158.2,3.3009569972150485,0.08749324822809,2,VIP,Alto,90,False,4,4,4,Champions
2,12744.26,Alejandro López López,0.4,0.3482,531.0108,0.0938,122358.02,2.984643050243321,0.2754812335901616,2,VIP,Alto,61,False,4,4,4,Champions
3,19862.51,Alejandro López Álvarez,0.3976,0.3774,827.6046,0.0694,189556.86,3.8195179084566298,0.2522019079523308,2,VIP,Alto,53,False,4,4,4,Champions
4,8203.76,Javier Ruiz Fernández,0.3825,0.1454,820.376,0.0714,31375.23,1.9365665799600411,0.1219129373766183,2,VIP,Alto,18,False,4,4,4,Champions
5,10938.05,David Gómez Pérez,0.3869,0.3156,497.1841,0.0741,93091.15,2.7043784179660757,0.1840759417726045,2,VIP,Alto,23,False,4,4,4,Champions
6,12239.64,Javier García Sánchez,0.3922,0.2908,611.982,0.0638,95995.05,2.738414319815593,0.1489464445901666,2,VIP,Alto,18,False,4,4,4,Champions
7,8226.7,Ana García Fernández,0.4,0.238,483.9235,0.0222,55945.26,2.0355865381353495,-0.0618376365604526,2,VIP,Alto,25,False,4,4,4,Champions
8,11132.63,Ana Ruiz Díaz,0.4,0.2755,618.4794,0.02,80151.93,2.8219507372409014,-0.0124307528734924,2,VIP,Alto,151,False,3,4,4,Leales
9,9479.85,Alejandro García Álvarez,0.3798,0.2227,677.1321,0.027,50407.75,2.8479386985373285,0.0362359150841524,2,VIP,Alto,3,False,4,4,4,Champions
10,9605.2,Marta Díaz Sánchez,0.4,0.2792,480.26,0.075,76841.67,2.2852947150670935,0.1536274122458323,2,VIP,Alto,26,False,4,4,4,Champions
11,9557.4,Javier López García,0.4,0.2359,562.2,0.0541,64992.36,2.0582799882979317,0.0578977541233874,2,VIP,Alto,14,False,4,4,4,Champions
12,13792.99,Sergio Álvarez Martínez,0.4,0.3003,725.9468,0.0667,104821.15,3.2073517267025027,0.1937249438772611,2,VIP,Alto,162,False,3,4,4,Leales
13,10223.87,María García Álvarez,0.4,0.2576,601.4041,0.0233,69528.86,2.7222830639997406,0.0021554755788249,2,VIP,Alto,35,False,4,4,4,Champions
14,19501.69,Ana Martínez Fernández,0.3926,0.3093,886.4405,0.0,168451.71,2.9240018992819725,-0.0919043926775939,2,VIP,Alto,31,False,4,4,4,Champions
15,3858.51,Alejandro Díaz Álvarez,0.4,0.1612,385.851,0.0,15433.68,2.08180049571479,-0.1251376124607818,2,VIP,Alto,181,True,3,4,4,Leales
16,10076.33,Alejandro Pérez Gómez,0.4,0.2498,592.7253,0.0851,68531.38,2.490915277439302,0.215466993522772,2,VIP,Alto,19,False,4,4,4,Champions
